CODE_COM;APL_EHPA;APL_RA;APL_SAPA
31014;65056.61;0.0;18.9
31015;81040.98;0.0;685.72
31018;97046.4;330.64;1191.71
31019;69545.19;0.0;18.9
31025;77098.4;425.18;1287.12
31027;58405.6;30.1;571.74
31029;51687.35;543.28;579.05
31033;71381.33;30.1;97.36
31034;70989.05;107.19;1149.09
31039;52589.94;330.64;580.54
31040;97401.4;0.0;278.41
31041;162387.9;0.0;1394.52
31042;98497.56;0.0;0.0
31044;122603.36;381.11;1606.14
31048;73695.7;360.85;1081.06
31049;88604.5;647.26;1947.42
31051;54266.08;0.0;1004.21
31052;83097.03;259.25;1794.18
31057;87747.91;284.51;1186.72
31059;75017.0;330.64;402.88
31060;63397.73;1111.11;705.85
31062;60214.71;0.0;392.76
31064;80362.7;0.0;2607.37
31065;79757.46;267.51;948.35
31066;69393.59;467.04;934.59
31069;119301.07;395.08;1360.48
31070;104249.38;202.59;1562.23
31071;70161.32;253.54;912.57
31073;59233.79;264.18;898.8
31074;66576.66;383.08;1363.79
31080;122695.24;202.59;993.68
31081;22755.75;0.0;0.0
31085;30417.59;0.0;18.9
31086;68967.84;107.19;1149.09
31087;67102.18;75.6;1018.52
31088;77107.44;341.81;1353.39
31089;72347.45;207.0;1140.47
31091;114957.06;490.56;1512.03
31095;79392.07;0.0;1185.52
31096;68027.74;0.0;353.56
31099;69605.72;0.0;100.14
31101;72429.88;161.59;925.17
31107;109390.66;267.51;1178.35
31110;90868.0;330.64;1000.94
31121;67775.5;330.64;1279.72
31123;55352.38;0.0;0.0
31124;117965.7;330.64;1556.4
31125;44532.91;0.0;2588.47
31128;67275.34;30.1;375.99
31134;78386.31;107.19;1149.09
31138;83308.82;202.59;1532.43
31139;135004.41;0.0;825.97
31144;122096.89;0.0;685.72
31149;117375.51;395.08;1606.95
31150;102322.3;341.81;1389.99
31157;91094.23;395.08;1458.51
31163;66760.53;360.85;1015.96
31164;65882.94;0.0;392.76
31165;83568.46;374.15;1662.48
31173;55021.37;30.1;571.74
31178;46592.05;330.64;1088.94
31180;55926.92;1111.11;705.85
31181;108807.77;595.35;1694.56
31186;112944.28;578.79;1565.35
31187;91227.46;341.81;1519.73
31191;18842.07;0.0;0.0
31193;85068.06;360.73;656.59
31200;143584.48;0.0;825.97
31201;49008.23;223.44;1127.05
31204;49107.16;330.64;476.99
31205;100460.58;525.52;1425.3
31207;172585.0;95.4;1394.52
31208;83377.57;0.0;1556.4
31212;107444.35;751.55;2124.94
31216;76738.92;449.58;1804.39
31219;83290.61;253.54;208.86
31222;82183.04;0.0;18.9
31227;85049.14;425.18;1458.2
31228;93021.49;684.5;1654.54
31235;127657.3;0.0;685.72
