CODGEO;LIBGEO;MED15;TP6015
01441;Vieu-d'Izenave;21417;
01442;Vieu;22385;
01443;Villars-les-Dombes;22265;7
01444;Villebois;21286;
01445;Villemotier;20983;
01446;Villeneuve;22865;
01447;Villereversure;20408;
01448;Villes;29022;
01449;Villette-sur-Ain;23899;
01450;Villieu-Loyes-Mollon;23400;
01451;Viriat;22991;7
01452;Virieu-le-Grand;18518;
01453;Virieu-le-Petit;21366;
01454;Virignin;20574;
01456;Vongnes;;
01457;Vonnas;19958;11
02001;Abbécourt;19693;
02002;Achery;19990;
02003;Acy;21121;
02004;Agnicourt-et-Séchelles;17803;
02005;Aguilcourt;21737;
02006;Aisonville-et-Bernoville;20571;
02007;Aizelles;20914;
02008;Aizy-Jouy;19780;
02009;Alaincourt;19712;
02010;Allemant;18785;
02011;Ambleny;21866;
02012;Ambrief;;
02013;Amifontaine;19742;
02014;Amigny-Rouy;20420;
02015;Ancienville;;
02016;Andelain;19236;
02017;Anguilcourt-le-Sart;19310;
02018;Anizy-le-Château;18233;19
02019;Annois;18199;
02020;Any-Martin-Rieux;18595;
02021;Archon;;
02022;Arcy-Sainte-Restitue;19396;
02023;Armentières-sur-Ourcq;21969;
02024;Arrancy;;
02025;Artemps;21097;
02026;Artonges;;
02027;Assis-sur-Serre;19712;
02028;Athies-sous-Laon;20280;10
02029;Attilly;20517;
02030;Aubencheul-aux-Bois;18892;
02031;Aubenton;16408;
02032;Aubigny-aux-Kaisnes;17350;
02033;Aubigny-en-Laonnois;;
02034;Audignicourt;20657;
02035;Audigny;17033;
02036;Augy;;
02037;Aulnois-sous-Laon;19750;
02038;Les Autels;;
02039;Autremencourt;19301;
02040;Autreppes;16196;
02041;Autreville;20665;
02042;Azy-sur-Marne;22472;
02043;Bagneux;;
02044;Bancigny;;
02046;Barenton-Bugny;20017;
02047;Barenton-Cel;18286;
02048;Barenton-sur-Serre;20682;
02049;Barisis-aux-Bois;21188;
02050;Barzy-en-Thiérache;18182;
02051;Barzy-sur-Marne;23495;
02052;Bassoles-Aulers;19509;
02053;Vallées en Champagne;23988;
02054;Bazoches-sur-Vesles;21243;
02055;Beaumé;19768;
02056;Beaumont-en-Beine;19869;
02057;Beaurevoir;16669;
02058;Beaurieux;17642;
02059;Beautor;16300;28
02060;Beauvois-en-Vermandois;20635;
02061;Becquigny;17753;
02062;Belleau;23423;
02063;Bellenglise;18523;
02064;Belleu;18584;16
02065;Bellicourt;18076;
02066;Benay;20341;
02067;Bergues-sur-Sambre;19611;
02068;Berlancourt;;
02069;Berlise;14241;
02070;Bernot;19261;
02071;Berny-Rivière;20910;
02072;Berrieux;22076;
02073;Berry-au-Bac;19704;
02074;Bertaucourt-Epourdon;20023;
02075;Berthenicourt;21574;
02076;Bertricourt;21390;
02077;Berzy-le-Sec;21732;
02078;Besmé;17115;
02079;Besmont;17276;
02080;Besny-et-Loizy;23025;
02081;Béthancourt-en-Vaux;20553;
02082;Beugneux;20743;
02083;Beuvardes;20821;
02084;Bézu-le-Guéry;23576;
02085;Bézu-Saint-Germain;20664;
02086;Bichancourt;20178;
02087;Bieuxy;;
02088;Bièvres;;
02089;Billy-sur-Aisne;20164;
02090;Billy-sur-Ourcq;19684;
02091;Blanzy-lès-Fismes;;
02093;Blérancourt;17711;
02094;Blesmes;22600;
02095;Bohain-en-Vermandois;14105;37
02096;Bois-lès-Pargny;20197;
02097;Boncourt;17975;
02098;Bonneil;21175;
02099;Bonnesvalyn;21712;
02100;Bony;19405;
02101;Bosmont-sur-Serre;19092;
02102;Bouconville-Vauclair;21180;
02103;Boué;18098;
02104;Bouffignereux;23739;
02105;Bouresches;19622;
02106;Bourg-et-Comin;18693;
02107;Bourguignon-sous-Coucy;;
02108;Bourguignon-sous-Montbavin;22140;
02109;La Bouteille;18633;
02110;Braine;18433;18
02111;Brancourt-en-Laonnois;20882;
02112;Brancourt-le-Grand;18935;
02114;Brasles;21764;
02115;Braye-en-Laonnois;19499;
02116;Braye-en-Thiérache;16982;
02117;Bray-Saint-Christophe;;
02118;Braye;20561;
02119;Brécy;19562;
02120;Brenelle;19303;
02121;Breny;17873;
02122;Brie;;
02123;Brissay-Choigny;20950;
02124;Brissy-Hamégicourt;20141;
02125;Brumetz;21158;
02126;Brunehamel;16261;
02127;Bruyères-sur-Fère;20042;
02128;Bruyères-et-Montbérault;21661;
02129;Bruys;;
02130;Bucilly;18225;
02131;Bucy-le-Long;21229;
02132;Bucy-lès-Cerny;21388;
02133;Bucy-lès-Pierrepont;18273;
02134;Buire;18197;
02135;Buironfosse;17150;
02136;Burelles;17358;
02137;Bussiares;22541;
02138;Buzancy;24228;
02139;Caillouël-Crépigny;21807;
02140;Camelin;19478;
02141;La Capelle;16814;
02142;Castres;22193;
02143;Le Catelet;17919;
02144;Caulaincourt;22439;
02145;Caumont;20322;
02146;Celles-lès-Condé;;
02147;La Celle-sous-Montmirail;;
02148;Celles-sur-Aisne;19577;
02149;Cerizy;;
02150;Cerny-en-Laonnois;;
02151;Cerny-lès-Bucy;24493;
02152;Cerseuil;;
02153;Cessières;21886;
02154;Chacrise;21319;
02155;Chaillevois;21382;
02156;Chalandry;21255;
02157;Chambry;21131;
02158;Chamouille;16448;
02159;Champs;18629;
02160;Chaourse;17278;
02161;La Chapelle-Monthodon;;
02162;La Chapelle-sur-Chézy;20928;
02163;Charly-sur-Marne;19438;16
02164;Le Charmel;18603;
02165;Charmes;18819;
02166;Chartèves;20829;
02167;Chassemy;20625;
02168;Château-Thierry;17435;23
02169;Châtillon-lès-Sons;;
02170;Châtillon-sur-Oise;20616;
02171;Chaudardes;;
02172;Chaudun;20633;
02173;Chauny;16506;28
02174;Chavignon;19293;
02175;Chavigny;19552;
02176;Chavonne;19155;
02177;Chérêt;20943;
02178;Chermizy-Ailles;20022;
02179;Chéry-Chartreuve;20178;
02180;Chéry-lès-Pouilly;19759;
02181;Chéry-lès-Rozoy;;
02182;Chevennes;17930;
02183;Chevregny;22493;
02184;Chevresis-Monceau;18957;
02185;Chézy-en-Orxois;21655;
02186;Chézy-sur-Marne;22243;
02187;Chierry;22448;
02188;Chigny;16606;
02189;Chivres-en-Laonnois;17380;
02190;Chivres-Val;20414;
02191;Chivy-lès-Étouvelles;21580;
02192;Chouy;20455;
02193;Cierges;;
02194;Cilly;18551;
02195;Ciry-Salsogne;21243;
02196;Clacy-et-Thierret;22578;
02197;Clairfontaine;20258;
02198;Clamecy;21178;
02199;Clastres;19589;
02200;Clermont-les-Fermes;15687;
02201;Coeuvres-et-Valsery;21533;
02203;Coincy;18384;
02204;Coingt;;
02205;Colligis-Crandelain;19084;
02206;Colonfay;;
02207;Commenchon;21523;
02208;Concevreux;21290;
02209;Condé-en-Brie;18877;
02210;Condé-sur-Aisne;19943;
02211;Condé-sur-Suippe;20407;
02212;Condren;20216;
02213;Connigis;20619;
02214;Contescourt;;
02215;Corbeny;20259;
02216;Corcy;22051;
02217;Coucy-le-Château-Auffrique;19413;
02218;Coucy-lès-Eppes;19956;
02219;Coucy-la-Ville;20291;
02220;Coulonges-Cohan;19661;
02221;Coupru;20577;
02222;Courbes;;
02223;Courboin;20579;
02224;Courcelles-sur-Vesle;19202;
02225;Courchamps;;
02226;Courmelles;20215;
02227;Courmont;19607;
02228;Courtemont-Varennes;19407;
02229;Courtrizy-et-Fussigny;;
02230;Couvrelles;20989;
02231;Couvron-et-Aumencourt;18831;
02232;Coyolles;21412;
02233;Cramaille;19988;
02234;Craonne;;
02235;Craonnelle;20669;
02236;Crécy-au-Mont;18186;
02237;Crécy-sur-Serre;17896;
02238;Crépy;19486;
02239;Crézancy;18787;
02240;Croix-Fonsomme;18417;
02241;La Croix-sur-Ourcq;19145;
02242;Crouttes-sur-Marne;20810;
02243;Crouy;19005;16
02244;Crupilly;;
02245;Cuffies;19654;
02246;Cugny;20513;
02248;Cuirieux;16804;
02249;Cuiry-Housse;21890;
02250;Cuiry-lès-Chaudardes;;
02251;Cuiry-lès-Iviers;;
02252;Cuissy-et-Geny;;
02253;Cuisy-en-Almont;22556;
02254;Cutry;22798;
02255;Cys-la-Commune;19170;
02256;Dagny-Lambercy;15259;
02257;Dallon;23627;
02258;Dammard;20716;
02259;Dampleux;23444;
02260;Danizy;17055;
02261;Dercy;20189;
02262;Deuillet;20932;
02263;Dhuizel;20028;
02264;Dizy-le-Gros;17038;
02265;Dohis;18473;
02266;Dolignon;;
02267;Dommiers;19290;
02268;Domptin;20795;
02269;Dorengt;19973;
02270;Douchy;18620;
02271;Dravegny;18424;
02272;Droizy;;
02273;Dury;20607;
02274;Ébouleau;17807;
02275;Effry;14819;
02276;Englancourt;20677;
02277;Épagny;18743;
02278;Éparcy;;
02279;Épaux-Bézu;23600;
02280;Épieds;21692;
02281;L'Épine-aux-Bois;20218;
02282;Eppes;18684;
02283;Erlon;17719;
02284;Erloy;;
02286;Esquéhéries;18173;
02287;Essigny-le-Grand;22768;
02288;Essigny-le-Petit;18285;
02289;Essises;21839;
02290;Essômes-sur-Marne;21448;10
02291;Estrées;19691;
02292;Étampes-sur-Marne;20238;
02293;Étaves-et-Bocquiaux;18606;
02294;Étouvelles;23485;
02295;Étréaupont;16719;
02296;Étreillers;21204;
02297;Étrépilly;22104;
02298;Étreux;17553;
02299;Évergnicourt;20086;
02301;Faucoucourt;20831;
02302;Faverolles;21188;
02303;Fayet;30097;
02304;La Fère;14286;41
02305;Fère-en-Tardenois;17021;25
02306;La Ferté-Chevresis;19353;
02307;La Ferté-Milon;20693;11
02308;Fesmy-le-Sart;17083;
02309;Festieux;19847;
02310;Fieulaine;20979;
02311;Filain;20631;
02312;La Flamengrie;18219;
02313;Flavigny-le-Grand-et-Beaurain;18131;
02315;Flavy-le-Martel;18728;
02316;Fleury;24411;
02317;Fluquières;22589;
02318;Folembray;17435;
02319;Fonsomme;17849;
02320;Fontaine-lès-Clercs;21365;
02321;Fontaine-lès-Vervins;19596;
02322;Fontaine-Notre-Dame;21275;
02323;Fontaine-Uterte;21199;
02324;Fontenelle;18329;
02325;Fontenelle-en-Brie;;
02326;Fontenoy;21480;
02327;Foreste;16759;
02328;Fossoy;23403;
02329;Fourdrain;22203;
02330;Francilly-Selency;23859;
02331;Franqueville;17985;
02332;Fresnes-en-Tardenois;19308;
02333;Fresnes;18791;
02334;Fresnoy-le-Grand;16722;23
02335;Fressancourt;18963;
02336;Frières-Faillouël;20836;
02337;Froidestrées;19265;
02338;Froidmont-Cohartille;18958;
02339;Gandelu;20362;
02340;Gauchy;18687;15
02341;Gercy;21489;
02342;Gergny;19905;
02343;Germaine;;
02344;Gernicourt;;
02345;Gibercourt;;
02346;Gizy;19757;
02347;Gland;23987;
02348;Glennes;;
02349;Goudelancourt-lès-Berrieux;;
02350;Goudelancourt-lès-Pierrepont;18070;
02351;Goussancourt;19273;
02352;Gouy;16917;
02353;Grandlup-et-Fay;19485;
02354;Grandrieux;;
02355;Gricourt;20741;
02356;Grisolles;18116;
02357;Gronard;;
02358;Grougis;16768;
02359;Grugies;19880;
02360;Guignicourt;20479;11
02361;Guise;15544;32
02362;Guivry;19568;
02363;Guny;18826;
02364;Guyencourt;23660;
02366;Hannapes;17117;
02367;Happencourt;20377;
02368;Haramont;21601;
02369;Harcigny;17741;
02370;Hargicourt;18504;
02371;Harly;19983;
02372;Hartennes-et-Taux;20209;
02373;Hary;20318;
02374;Lehaucourt;17850;
02375;Hautevesnes;21564;
02376;Hauteville;19608;
02377;Haution;19471;
02378;La Hérie;17682;
02379;Le Hérie-la-Viéville;19271;
02380;Hinacourt;;
02381;Hirson;14936;34
02382;Holnon;21775;
02383;Homblières;21580;
02384;Houry;;
02385;Housset;16549;
02386;Iron;17173;
02387;Itancourt;22245;
02388;Iviers;17841;
02389;Jaulgonne;21137;
02390;Jeancourt;19578;
02391;Jeantes;18491;
02392;Joncourt;21673;
02393;Jouaignes;21148;
02395;Jumencourt;21597;
02396;Jumigny;;
02397;Jussy;19064;
02398;Juvigny;19611;
02399;Juvincourt-et-Damary;20109;
02400;Laffaux;21805;
02401;Laigny;19782;
02402;Lanchy;;
02403;Landifay-et-Bertaignemont;18551;
02404;Landouzy-la-Cour;19121;
02405;Landouzy-la-Ville;18761;
02406;Landricourt;19475;
02407;Laniscourt;22781;
02408;Laon;16101;31
02409;Lappion;18856;
02410;Largny-sur-Automne;23973;
02411;Latilly;19396;
02412;Launoy;16565;
02413;Laval-en-Laonnois;18356;
02414;Lavaqueresse;16800;
02415;Laversine;26304;
02416;Lemé;17376;
02417;Lempire;17878;
02418;Lerzy;19642;
02419;Leschelle;20070;
02420;Lesdins;21755;
02421;Lesges;;
