"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Aubervilliers";93001;25769.7165635884;11807.5759655031;1523.96825563688;9474.48285653735;1508.44084385114;26125.6713281078;11966.800344424;2072.23993727822;9090.82019485573;1589.29836974626;29613.9572578425;13547.5408556592;2325.1420384618;10338.4707014137;1713.68065174448;83;12;81;14;81;14;0;0
"Aulnay-sous-Bois";93005;29745.0443627875;13343.9501151135;1178.28781712855;12263.4201678367;1310.81538185954;27935.2181369893;12123.9410208279;1110.84808673893;11718.1958629647;1474.1469814012;29415.3120141282;13053.7033419641;1363.91387507536;11799.7740538535;1504.93006034859;86;8;85;9;84;10;-1;11
"Bagnolet";93006;12626.9526063222;5218.04695871796;767.109165862254;5426.48998398869;708.787055155043;13425.0293260064;5453.27884590101;814.54407138467;5386.37368764732;880.803346605772;13285.4696752127;5510.2794325263;896.255584959437;5273.27151066772;1014.10569986216;84;12;81;13;81;14;0;8
"Le Blanc-Mesnil";93007;18573.9453197437;8098.9805390412;645.627501369165;7976.09568875201;875.83007100142;18098.3661025879;8057.35953674431;712.290918440238;7522.55725609852;908.856362556592;18825.4520618962;8468.46943101658;897.861118384577;7425.93264951621;941.07686652908;87;8;86;9;84;10;-2;11
"Bobigny";93008;16626.4172280595;7450.43228186068;684.146636083592;6810.47417095974;851.343043474655;16570.692047268;7223.49933692017;988.899588685523;6569.2275894783;923.80447975167;17173.3800751624;7785.43361949117;1044.60881468073;6476.99823343965;934.612271826512;86;9;83;12;83;12;0;0
"Bondy";93010;19197.457859437;8446.2846814688;762.712481319682;8025.58687006439;1022.48772874677;18498.3590921494;7866.22579071191;846.800469368039;7784.16679236218;1101.85790583443;18091.8527558533;7870.22727275278;788.623791555844;7371.34911980248;1154.04469661509;86;9;85;11;84;11;-1;0
"Le Bourget";93013;5284.9762615985;2328.10312528102;221.411872936428;2178.09455310798;308.276682996057;6223.40222909378;3093.31202198015;310.752120993367;2200.14674249973;296.192288523563;5988.61402643758;3012.31398611606;282.780997175441;2105.47021280432;271.363857457693;85;10;85;10;85;9;0;-10
"Clichy-sous-Bois";93014;8768.32612733655;4251.10428085445;453.840275515392;3096.97587601333;543.901148361415;8527.19795701035;3984.52606009301;563.70301592924;2924.55739031049;587.25227692081;8141.4767388758;3758.8527636628;494.081691466252;2899.38560495519;580.321382079029;84;11;81;13;82;13;1;0
"Coubron";93015;2001.32795553947;864.021271534886;46.820251226802;937.071643682094;76.7055179673139;1909.25462318536;796.111038282761;52.0889758978345;913.34069601449;64.8655171557939;1937.03294710373;826.432222791193;35.7508549406633;906.16260406985;85.2617515756456;90;6;90;6;89;6;-1;0
"La Courneuve";93027;11977.8047833507;5433.96704065038;738.976293394308;4242.62463175757;821.955079819823;12585.0342653507;5626.88696064812;993.749094106045;4509.97517073589;798.832739044069;14172.1145288937;6428.98230976121;1058.04820409512;4896.71880230519;882.566770489219;81;13;81;14;80;14;-1;0
