"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Le Perreux-sur-Marne";94058;27554.1554766186;23055.7234637209;2694.33963135247;4163.40974343196;3629.99643200222;5648.47623996821;24260.427168331;5576.16066509423;4158.13443583232;10944.7749136743;24444.9664027334;3048.66474147307;4039.44602288245;3446.99792828188;3489.80639618101;5941.55939897776;31;45;53;71;18
"Le Plessis-Trévise";94059;15943.4253905742;13058.3397860612;1973.61976970451;2723.23028790508;1822.22280521405;1876.53122006868;13925.2463327305;3655.560483693;2860.89325347859;4629.58750257277;14152.2809158642;2495.85521895139;2947.02909416947;1918.21180959666;1561.96924889737;1389.20337223419;28;33;34;21;3
"La Queue-en-Brie";94060;9108.13093305747;7539.27629656549;1269.39966542574;1527.18665629193;1097.76183825232;890.653263846684;7985.88481413493;2281.7714062137;1511.72873534032;2328.96641884867;7915.53851417264;1389.53201109055;1698.04990577815;1070.04647973786;863.833675963971;593.584944177758;29;29;32;10;10
"Rungis";94065;4717.79233140014;3744.82605738761;337.946128724784;761.261497340168;715.098914097233;638.758547114355;3965.25429424755;818.625670973817;797.063213393109;1616.57176849719;4099.21236281835;516.641877533371;792.279097660088;699.398531862307;501.560160287745;577.246465550834;38;41;43;13;5
"Saint-Mandé";94067;18307.1101989662;16034.0355937731;1676.49924012781;2677.42821309818;2298.32284120754;5973.69590952464;15787.1831887331;3073.38938095229;2774.57344320897;8583.87526751307;15936.2751131659;1528.17958810366;2230.39233996177;1703.78540728664;2482.64787347935;5988.22394600104;29;54;64;121;19
"Saint-Maur-des-Fossés";94068;63021.6877261178;55008.0494391455;6166.04514505502;9614.79915133776;8191.88714479025;15151.6659793911;53822.4120719193;12493.2745414813;9320.82183199016;24816.0505900445;54631.0257276742;7052.12304056833;8409.24308567233;6859.92701669659;8196.73462129713;14154.5551167111;30;46;53;77;15
"Saint-Maurice";94069;11458.1927993175;10324.4855462879;1068.45838959508;1916.80386365457;1608.00468828664;3179.78271686713;10597.0019339044;2162.43599577711;1845.81251313712;5286.27519503129;10187.4313303419;1581.40202525286;1600.53627816904;1269.58460715618;1494.27484307536;2516.15699768909;31;50;52;68;4
"Santeny";94070;3351.01631403504;2533.67193453996;293.711027205631;514.002083910316;408.90233484871;537.699129447749;2545.22092365333;528.802214614461;583.12520144064;987.934837690123;2927.00700732418;356.594484024743;582.499445184505;449.163678078739;393.711511516712;462.500561952546;32;39;45;41;15
"Sucy-en-Brie";94071;22008.2564337174;18256.5676407151;2745.25506594464;3221.10411178332;2666.00565442478;3566.17477351568;18310.9453667018;4739.92065744741;3468.95769615581;6807.55511906911;19146.8291297452;3059.44492914744;3534.51193847699;2502.22363604006;2450.13996343388;3066.42232213585;29;37;42;45;14
"Thiais";94073;24294.9390173911;20890.747157557;3886.7956691955;3705.98482222621;2911.77160652953;3376.36808589914;20893.8931154626;6805.09931213832;3807.41199899888;6493.30398711879;21452.6293605476;4100.53416139201;3690.24850865165;2777.53577337818;2454.17019226192;2900.51790125754;28;31;38;36;23
"Valenton";94074;11148.7510047615;7813.04209911887;2405.12900867936;1113.08511745551;841.166427753021;414.636301851777;8502.49475371185;3850.97958601754;1393.91462792476;1356.91313951036;9555.66144912736;2933.67179924122;1657.4656195814;748.106723426549;668.053937527866;578.585285151348;22;16;21;-5;31
"Villecresnes";94075;8743.97324995565;6663.00086949995;991.710762530734;1245.93670481724;960.780708913382;848.625115224927;6942.68273363475;2003.48811075115;1365.59378454932;2039.93413301182;7805.84239791352;1361.80958628454;1537.43340915007;1085.41910934321;866.474626157506;743.019105916455;29;29;35;21;21
"Villejuif";94076;44984.7268732713;36663.2118829502;8155.06860909508;5926.33722809696;4473.89857926489;5670.23256078143;38891.2098774029;12894.7672558361;6907.47676530167;12399.5022298946;37971.5310532713;8853.24787208871;6174.57880938206;3691.12146379882;4294.17512803721;6460.30100797521;24;32;38;58;19
"Villeneuve-le-Roi";94077;16647.5930444289;12990.6837572579;3536.35599952418;2082.41746814468;1248.61643097585;1003.8420443715;14048.8077968397;5758.19184790192;2307.97527584185;2781.23017916856;14606.9360434578;3964.51131975767;2586.70197703405;1482.40833696267;1373.12011628068;1082.68132047306;19;20;27;42;35
"Villeneuve-Saint-Georges";94078;26311.9176852569;20753.5489777285;5936.27485573979;3709.27913786549;1779.55165307206;1452.48980505595;21770.6825860655;9706.6224165702;3737.1794903797;3958.44517068063;22606.7661346699;8026.16428183766;4167.68205245067;1769.37674745971;1473.22127953198;1368.26688400103;17;18;20;18;11
"Villiers-sur-Marne";94079;23316.4159190746;18872.9432701134;3914.32493878334;3289.87489488589;2322.68342549602;2604.85754248154;19361.8574547396;6376.93454205905;3412.14582963179;6005.0103505196;20186.0358201083;4246.71235327709;3593.90149115652;2378.53664062417;2301.51687444239;2834.01879748034;25;31;37;48;19
"Vincennes";94080;41146.1641994986;35664.4622844271;3084.44605106878;5338.83201821334;5353.91608892782;14149.2774072973;36658.6210212262;6142.86358482598;5207.24580602164;21922.3663133685;35965.2270247258;3193.00661780369;4431.94168679493;3598.12359486104;6094.78615480631;14276.7967561742;30;60;67;123;12
"Vitry-sur-Seine";94081;74807.5975503808;57862.8551406669;16518.8516779394;8731.00714658834;5787.58073462641;6723.81457900022;61274.9896348585;24024.2869006103;10482.3514226877;15465.0762248293;63854.6685957981;18157.7711333047;10433.5271536916;6100.95608450173;5967.93816810335;7476.89191012306;20;25;31;55;24
