"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Le Bourget";93013;6746.16011524316;3170.17417598196;332.375949688771;2494.29702694689;6505.28317012859;3406.54072369134;324.298657266934;2246.77359204907;16;12;13;8;5;7;43;46;43;47;5;37;52;5;35;11;0;-5;-19;-12;0
"Clichy-sous-Bois";93014;9285.73486849334;4192.41334925878;564.992528066573;4097.60034384915;8918.78908069743;3880.42317132706;500.319984402045;4246.70875626173;15;28;20;5;11;7;72;94;103;45;6;44;44;6;48;-2;0;9;33;40;43
"Coubron";93015;2129.4556124066;390.794716807543;44.2264889698595;1569.60030823495;2142.60721521071;423.617757241967;43.6954893719218;1548.9265293275;1;3;5;0;3;3;5;4;7;18;2;74;20;2;72;11;0;-3;400;Inf;40
"La Courneuve";93027;13582.6359942443;8603.37076032913;770.75953054094;3667.11548363972;15515.1224255832;9873.70299918254;820.209240838891;4226.01601976319;25;40;35;24;40;37;68;99;100;63;6;27;64;5;27;2;-17;0;40;54;47
"Drancy";93029;27053.9616373956;12188.2621918824;1519.33321818808;11778.4985684855;27641.7476193371;12472.5075585599;1502.81434626738;12228.6175689869;51;64;52;25;38;22;244;315;285;45;6;44;45;5;44;0;-17;0;2;-12;17
"Dugny";93030;4154.16451488757;1474.95914588567;374.544927341075;1745.68067317673;4014.68208638608;1510.44117396482;417.051396884205;1772.94142969082;5;6;9;3;4;3;6;12;15;36;9;42;38;10;44;6;11;5;80;0;150
"Épinay-sur-Seine";93031;20261.6869850923;11021.7285730926;1193.94734907886;7014.99008649018;20706.3978819829;11780.1282173075;1000.79000373472;7041.76118907913;43;55;43;13;29;16;92;107;112;54;6;35;57;5;34;6;-17;-3;0;23;22
"Gagny";93032;16847.634626601;7316.43804284515;674.797652864545;7884.67774819627;16867.8543899064;7606.47090221658;525.669584274031;7811.34401478884;39;37;35;13;13;14;70;86;106;43;4;47;45;3;46;5;-25;-2;-10;8;51
"Gournay-sur-Marne";93033;3144;1010;125;1781;3196;1034;98;1817;6;7;6;0;2;2;6;11;10;32;4;57;32;3;57;0;-25;0;0;Inf;67
"L'Île-Saint-Denis";93039;2699.37338273805;1496.40275172711;194.282945091404;783.256786771107;3011.55846584127;1801.89661294546;162.523077727331;804.626161154298;5;10;8;2;6;3;4;11;21;55;7;29;60;5;27;9;-29;-7;60;50;425
"Les Lilas";93045;10126.8901120439;6080.28372777604;838.185263623507;2266.48157046783;10616.2090906822;6458.56707855362;863.044430393729;2128.02989700023;44;48;46;10;14;10;24;32;22;60;8;22;61;8;20;2;0;-9;5;0;-8
"Livry-Gargan";93046;18703.8117772649;5968.71164861826;932.084890810718;10736.711353962;19120.2876384678;6506.23577315195;897.781452225036;10655.9287299117;43;44;51;12;18;14;74;132;132;32;5;57;34;5;56;6;0;-2;19;17;78
"Montfermeil";93047;9687.49979031686;2837.56958424798;587.023107663902;5635.90050591545;10186.5958590469;3135.85827066071;445.738945794158;6160.64502080497;27;20;21;10;9;16;112;112;107;29;6;58;31;4;60;7;-33;3;-22;60;-4
"Montreuil";93048;45701.8716058734;26400.5285394324;3774.3422045216;10967.9285961519;48076.7887430652;28925.0753932791;3563.89349462613;10103.6586332074;197;240;231;71;101;122;216;246;276;58;8;24;60;7;21;3;-12;-12;17;72;28
"Neuilly-Plaisance";93049;9687.71120683507;4469.85566798125;660.062052336517;3909.81714837133;10013.7797562261;4989.07217873628;499.175764533198;3870.64253987242;25;34;42;9;7;19;30;40;43;46;7;40;50;5;39;9;-29;-2;68;111;43
"Neuilly-sur-Marne";93050;15666.5814561483;7694.31064246756;949.465396679941;6100.18324342265;15481.0695705936;8239.50870937236;842.261405250136;5585.68198274674;26;35;36;12;9;11;32;53;49;49;6;39;53;5;36;8;-17;-8;38;-8;53
"Noisy-le-Grand";93051;28873.6526016993;15018.8157050181;1542.55162895069;10859.3489999238;30334.3011199281;16282.5856421188;1676.64864158009;10926.5340273634;88;109;95;21;30;29;113;123;116;52;5;38;54;6;36;4;20;-5;8;38;3
"Noisy-le-Sec";93053;15828.9245859605;8548.91587585068;1183.47337501159;4953.50033506765;17127.2170624174;9687.38927173323;945.157723359711;5416.00633193135;49;66;44;10;13;21;102;120;126;54;7;31;57;6;32;6;-14;3;-10;110;24
"Pantin";93055;22665.671387428;14237.928200314;1820.91396928101;4580.46514772883;25699.8394494937;16467.5069237246;1987.81576076196;4596.27356002198;106;137;171;54;66;58;176;172;188;63;8;20;64;8;18;2;0;-10;61;7;7
"Les Pavillons-sous-Bois";93057;10104.7838308681;3538.29404018634;586.887094495684;5233.2824796059;10518.1302014692;3976.58156174026;531.639454876237;5215.22449774003;28;38;21;12;12;16;108;139;146;35;6;52;38;5;50;9;-17;-4;-25;33;35
"Pierrefitte-sur-Seine";93059;10620.2392937685;5275.22913721126;600.091257621676;3626.1076009952;10846.4075711449;5992.40286116694;705.479975629661;3761.40352437927;27;30;19;6;17;10;78;68;92;50;6;34;55;7;35;10;17;3;-30;67;18
"Le Pré-Saint-Gervais";93061;8091.06101260766;4534.42867900357;958.462818207603;1751.7998919701;7813.87144383602;4627.35043203332;622.088471166372;1661.94846566458;29;40;28;8;20;13;24;36;18;56;12;22;59;8;21;5;-33;-5;-3;62;-25
"Le Raincy";93062;6687.62287848453;2601.20826201558;384.559500652978;3223.55426103805;6920.00546228239;2989.58666517053;352.272784485673;3153.03970751297;23;37;36;3;15;9;43;45;33;39;6;48;43;5;46;10;-17;-4;57;200;-23
"Romainville";93063;9877.38520857727;4589.23844557907;767.347994866893;3422.73565215518;11842.3801056579;5980.55035566076;707.368306541033;3850.56981898008;38;49;48;16;23;32;50;44;70;46;8;35;51;6;33;11;-25;-6;26;100;40
"Rosny-sous-Bois";93064;19161.3952938604;9152.53801178066;1626.5915643528;7027.13894418558;19906.2819232438;9510.56950141355;1377.72448784798;7802.99223826727;43;58;48;16;22;26;109;93;103;48;8;37;48;7;39;0;-12;5;12;62;-6
"Saint-Denis";93066;42469.5477690074;25195.9082024423;3242.14803442063;10567.6993032854;42631.590564312;26377.0512527841;2759.13961826353;10282.8339105401;137;167;126;59;66;96;204;212;253;59;8;25;62;6;24;5;-25;-4;-8;63;24
"Saint-Ouen-sur-Seine";93070;20721.6759125828;12194.1340587199;2269.23697274397;4169.83763756858;22687.6372653049;13277.4816418198;2657.62137217581;4167.21670609185;84;96;86;41;47;42;102;145;125;59;11;20;59;12;18;0;9;-10;2;2;23
"Sevran";93071;18543.4531730392;9290.18872389527;849.009952981122;7540.78023630068;18347.3526394589;9198.02964161164;746.570168176505;7725.00343660151;41;65;46;9;13;14;70;108;90;50;5;41;50;4;42;0;-20;2;12;56;29
"Stains";93072;12819.3391697013;6649.61258348838;800.691158747311;4858.03976816362;13255.7342672224;6990.87628468777;722.415077062557;5077.59115824571;24;32;26;12;15;13;58;69;77;52;6;38;53;5;38;2;-17;0;8;8;33
"Tremblay-en-France";93073;14353.3413362576;4676.28708660853;644.659538874798;8308.40344606285;14996.9790959223;4522.94184655474;654.271013787065;9108.28875850903;32;41;37;12;15;5;33;58;56;33;4;58;30;4;61;-9;0;5;16;-58;70
"Vaujours";93074;3344.21312158524;913.723795685647;145.025707066095;2084.45953993951;3121.06119064058;853.158198621385;139.375446797426;1976.22621174254;3;10;11;1;2;3;15;14;10;27;4;62;27;4;63;0;0;2;267;200;-33
"Villemomble";93077;13076.2957524416;5744.81635596103;659.181064855116;5831.49734277035;13297.3246458994;6252.89221115173;609.644860525555;5631.03369324868;37;44;42;12;13;18;48;58;73;44;5;45;47;5;42;7;0;-7;14;50;52
