"LIB_MOD";"CODGEO";"P08_POP";"P13_POP";"P18_POP";"P08_POP05P";"P08_POP05P_IRAN1";"P08_POP05P_IRAN4";"P13_POP01P";"P13_POP01P_IRAN1";"P13_POP01P_IRAN3";"P13_POP01P_IRAN4";"P18_POP01P";"P18_POP01P_IRAN1";"P18_POP01P_IRAN3";"P18_POP01P_IRAN4";"P13_POP01P_IRAN1_%";"P18_POP01P_IRAN1_%";"P13_POP01P_IRAN3_%";"P18_POP01P_IRAN3_%";"P13_POP01P_IRAN4_%";"P18_POP01P_IRAN4_%";"P08_P013_%";"P13_P018_%";"P08_P018_%";"IRAN1_13_18_%";"IRAN3_13_18_%";"IRAN4_13_18_%"
"Charenton-le-Pont";94018;28571;30408;30053;26464.938984693;16000.2835335529;4100.10978465187;29950.0424533076;27085.5307119907;386.469978618896;1180.92207045601;29626.1858894616;26671.5201523108;566.143072799075;1189.04458929543;90;90;1;2;4;4;6;-1;5;0;100;0
"Chennevières-sur-Marne";94019;17698;18134;18142;16441.3745249376;11346.2598381635;1234.77707220127;17875.6966837463;16370.624284526;666.312756662602;322.164133831158;17938.4644870715;16402.5430329006;654.961172730277;285.913225435894;92;91;4;4;2;2;2;0;3;-1;0;0
"Chevilly-Larue";94021;19042;18894;19863;17735.6668160069;11713.3379873137;1428.571484602;18632.1059350717;16897.9281973324;529.736142560925;520.530866425177;19593.0945406816;18335.5798781198;465.189063129957;320.639977711327;91;94;3;2;3;2;-1;5;4;3;-33;-33
"Choisy-le-Roi";94022;38153;42769;46154;34917.6168164626;21468.5468466258;2862.06768549221;42054.1239478458;37285.4823629407;1476.66988032237;1043.27498973528;45278.4459135074;40790.4926104909;1269.08010025889;1083.9927329744;89;90;4;3;2;2;12;8;21;1;-25;0
"Créteil";94028;89304;89989;92265;82435.5198661787;56037.746606634;6829.75620080341;88492.8887574837;79999.039765775;1654.11714078743;2090.90432512952;90875.8516086014;82091.7464129599;2001.57098714192;2285.71130575337;90;90;2;2;2;3;1;3;3;0;0;50
"Fontenay-sous-Bois";94033;52848;53124;52256;49155.9119608282;32840.4794289912;5494.77842582537;52325.0185872288;47350.9547353441;934.977828900048;1557.75639203491;51617.3689456945;46818.2909133397;960.91753993069;1538.26713786227;90;91;2;2;3;3;1;-2;-1;1;0;0
"Fresnes";94034;25043;26645;28230;23359.0026581863;14093.6191440959;2690.42261054257;26191.0859587453;21608.5196723379;528.750221415221;829.472895977549;27838.6650916025;22976.9658277292;655.623315163092;778.689580942141;83;83;2;2;3;3;6;6;13;0;0;0
"Gentilly";94037;17362;16427;18577;16167.7827282452;10710.0246002556;2003.09632492237;16160.7367699452;14595.9120595154;227.861480237527;554.685025538559;18297.6346370248;15918.8380574068;248.135300431894;939.981201767001;90;87;1;1;3;5;-5;13;7;-3;0;67
"L'Haÿ-les-Roses";94038;29496;31201;31417;27525.2036400744;19377.0802726042;3027.13094234557;30814.1161592147;28179.9488258312;674.103288231139;854.460426872711;31013.5506596095;28349.9647144206;732.137267300715;785.22962822999;91;91;2;2;3;3;6;1;7;0;0;0
"Ivry-sur-Seine";94041;56679;58933;63309;52810.910387517;32912.9409257433;6357.07714933748;57945.9996878362;51672.5244425776;850.593377158871;2065.93736385303;62362.6419284394;55668.7128626898;993.806841133602;2203.48957010969;89;89;1;2;4;4;4;7;12;0;100;0
