"LIB_MOD";"CODGEO";"P08_ACTOCC15P";"P08_ACTOCC15P_ILT1";"P08_ACTOCC15P_ILT2";"P08_ACTOCC15P_ILT3";"P13_ACTOCC15P";"P13_ACTOCC15P_ILT1";"P13_ACTOCC15P_ILT2";"P13_ACTOCC15P_ILT3";"P18_ACTOCC15P";"P18_ACTOCC15P_ILT1";"P18_ACTOCC15P_ILT2";"P18_ACTOCC15P_ILT3";"Com_08_%";"Dept_08_%";"Reg_08_%";"Com_13_%";"Dept_13_%";"Reg_13_%";"Com_18_%";"Dept_18_%";"Reg_18_%";"Com_13_18_%";"Dept_13_18_%";"Reg_13_18_%"
"Pierrefitte-sur-Seine";93059;11085.5122011345;1679.49427747743;2882.02857768082;6298.39500229206;10620.2392937685;2302.23708347891;2791.36639416434;5429.54379530031;10846.4075711449;2209.17424182604;2568.63852414001;5941.88251026908;15;26;57;22;26;51;20;24;55;-9;-8;8
"Le Pré-Saint-Gervais";93061;7874.31296479941;1120.4016065674;1717.93490686113;4978.59906728769;8091.06101260766;1142.59371354106;1597.12703592212;5274.63608502547;7813.87144383602;1015.04778158922;1535.66732393375;5188.83609161942;14;22;63;14;20;65;13;20;66;-7;0;2
"Le Raincy";93062;6236.73642895487;879.412977834666;2336.27320954931;2956.7717468683;6687.62287848453;1134.89801000559;2192.69894484208;3256.49589881856;6920.00546228239;917.506974130466;2329.06482161334;3572.93875927784;14;37;47;17;33;49;13;34;52;-24;3;6
"Romainville";93063;10264.4229918943;1766.01928355631;3234.7793794342;5209.79501951912;9877.38520857727;1775.41093116963;2760.7243629584;5248.83717195374;11842.3801056579;1868.76040415455;3159.31095771714;6690.51727766685;17;32;51;18;28;53;16;27;56;-11;-4;6
"Rosny-sous-Bois";93064;18684.3495386088;3865.61151430081;4669.81168282684;9982.32007078484;19161.3952938604;4106.58431765357;4591.58999960103;10320.2063738633;19906.2819232438;3875.5667182622;4940.35232911435;10841.0773293606;21;25;53;21;24;54;19;25;54;-10;4;0
"Saint-Denis";93066;40363.2893790332;10637.0220039049;6656.41041763456;22703.3606292873;42469.5477690074;11547.9876039602;6211.80843284348;24288.7188768982;42631.590564312;11206.1322371033;6779.67589042059;24051.3435007857;26;16;56;27;15;57;26;16;56;-4;7;-2
"Saint-Ouen-sur-Seine";93070;19661.2424617526;4753.76409678823;2547.11008250932;12188.4871600145;20721.6759125828;4816.67592218857;2555.76613028581;13150.8676259661;22687.6372653049;5209.85211923785;2709.65059030394;14584.4876833176;24;13;62;23;12;63;23;12;64;0;0;2
"Sevran";93071;19493.854739602;3132.24682568361;5744.84718396698;10444.1306125348;18543.4531730392;3060.80474566659;5673.08255849439;9683.55585874126;18347.3526394589;3534.6828805554;5360.84013041639;9204.66485731704;16;29;54;17;31;52;19;29;50;12;-6;-4
"Stains";93072;12200.8339505205;2184.05510225881;3100.44855141079;6843.39348825794;12819.3391697013;2468.37544745698;3531.4861306497;6711.29346497566;13255.7342672224;2573.01288476589;3641.01372928788;6963.50421745739;18;25;56;19;28;52;19;27;53;0;-4;2
"Tremblay-en-France";93073;14860.2968207448;2757.59237595329;4397.75462688923;7592.83894666558;14353.3413362576;3102.92063854231;4370.32460477824;6689.19477492535;14996.9790959223;3468.30285723704;4414.90225921839;6898.88751688989;19;30;51;22;30;47;23;29;46;5;-3;-2
"Vaujours";93074;2964.51770431525;326.619202286125;1221.11888059391;1392.68361623619;3344.21312158524;415.02571003079;1341.23995455776;1559.93466959035;3121.06119064058;540.525427123082;1249.26093679457;1300.36279810579;11;41;47;12;40;47;17;40;42;42;0;-11
"Villemomble";93077;12359.1394873115;1869.38948117372;4222.44183029918;6161.0963539628;13076.2957524416;1951.99221409884;4594.37394361381;6414.91028056448;13297.3246458994;1914.86471715851;4322.90198565749;6889.67316466027;15;34;50;15;35;49;14;33;52;-7;-6;6
"Villepinte";93078;14871.5790242635;2663.14081475687;4400.8780368051;7692.09384134711;13620.6066192117;2763.16802995646;4010.29989114735;6693.99108802682;13707.3986087075;2837.15088971721;4001.98114364568;6734.00424683917;18;30;52;20;29;49;21;29;49;5;0;0
"Villetaneuse";93079;4630.24214370924;633.081453243241;1174.97113457871;2785.87297558124;4563.56710089595;685.169304512145;1165.62566222538;2677.72083037539;4765.46757763245;752.767750550115;1273.70095199285;2696.152610083;14;25;60;15;26;59;16;27;57;7;4;-3
"Ablon-sur-Seine";94001;2388.96922775383;234.800405069908;893.240689925521;1248.93832483993;2439.7027027027;257.708108108108;880.926126126126;1282.30810810811;2622.01277980325;251.847311582465;910.831186157925;1436.439071919;10;37;52;11;36;53;10;35;55;-9;-3;4
"Alfortville";94002;20510.083175507;3553.72065486346;6031.17313335019;10760.8885544135;20559.4653240831;3654.39744516919;5511.06428669206;11218.0160996639;20266.1224682405;3575.79140051688;5286.4207994857;11219.8448563242;17;29;52;18;27;55;18;26;55;0;-4;0
"Arcueil";94003;9023.92422468013;1574.19441941116;1732.98711750494;5634.68953291241;8910.62808749588;1740.19963004916;1527.99655176351;5566.24186805187;9993.59002722396;1789.46213655959;1633.77543357026;6420.35049496853;17;19;62;20;17;62;18;16;64;-10;-6;3
"Boissy-Saint-Léger";94004;7341.02622137806;1199.43180611501;2964.4342053828;3133.08245156357;7152.17043886547;1576.83647839518;2530.40960360148;2962.45390266366;6947.0255734554;1231.03348420293;2705.77781533215;2960.64549239377;16;40;43;22;35;41;18;39;43;-18;11;5
"Bonneuil-sur-Marne";94011;6897.4756325809;1610.79031600037;3075.90701317732;2174.21421976901;6520.70826592475;1659.09261766896;2911.02828886648;1911.31795111326;7077.757610055;1501.42967981292;3001.12506580998;2550.14148105368;23;45;32;25;45;29;21;42;36;-16;-7;24
"Bry-sur-Marne";94015;7256.00367561102;1028.86399804908;1755.6532533662;4389.69379208821;7997.60146569284;1183.89098090008;1543.05422598998;5172.8636435092;7813.06571905685;1141.35110901281;1678.94469391262;4877.8770765809;14;24;60;15;19;65;15;21;62;0;11;-5
"Cachan";94016;12000.372941186;1897.73248444192;2125.84965723856;7900.6295837817;12240.4841029481;2416.9437272426;2061.45569786351;7654.42141446871;13258.99083796;2379.49026408212;2288.18695664164;8454.87255527695;16;18;66;20;17;63;18;17;64;-10;0;2
"Champigny-sur-Marne";94017;32239.9515518784;6834.65161242552;9789.1760599584;15433.3088759712;32365.1480298178;7082.82011219252;9797.11324969962;15141.072947591;32582.8496964819;7091.05578180493;9272.17392608572;15876.9264276054;21;30;48;22;30;47;22;28;49;0;-7;4
"Charenton-le-Pont";94018;14391.8918849868;2244.64412576156;2581.80465725618;9370.57385620849;14689.4640756546;2435.23189641484;2538.19689483176;9558.07416146072;14678.0481575136;2401.01517530528;2501.63997765144;9600.40120220442;16;18;65;17;17;65;16;17;65;-6;0;0
"Chennevières-sur-Marne";94019;7870.96055927579;1476.9573541933;2988.92245814855;3364.16290625846;7803.24343108267;1446.87378326226;3028.79334121039;3253.356248425;7771.47969539052;1312.21851346597;2875.25825329646;3501.82716696747;19;38;43;19;39;42;17;37;45;-11;-5;7
"Chevilly-Larue";94021;8754.70288471693;1306.63557655429;3152.49519077914;4248.11068270518;8918.63819419814;1318.34750251225;3286.46075244482;4241.40375820556;8618.7776359515;1486.24877937345;3003.5828249627;4093.25148517781;15;36;49;15;37;48;17;35;47;13;-5;-2
"Choisy-le-Roi";94022;17402.8119584817;2968.45935241896;6242.53519810161;8033.28025730973;19197.7838554618;3391.2034344612;6659.31796305731;8997.22447212759;20314.3732867059;3479.44428278072;6412.63356721303;10189.8914002069;17;36;46;18;35;47;17;32;50;-6;-9;6
"Créteil";94028;38999.5539548045;12758.7695461989;8239.80463942131;17739.8963539134;38027.2209860168;12418.0947833568;7992.5693627733;17320.1508773786;39540.4896703428;11787.3097653318;8444.381959536;18944.6768577327;33;21;45;33;21;46;30;21;48;-9;0;4
"Fontenay-sous-Bois";94033;24083.8981549862;4792.02778114537;3923.15819974753;15144.5331693894;23938.0626495728;4731.52013722332;4046.6823550853;14903.6865609286;23512.9924280869;4914.2204494187;3786.17826989806;14555.319477439;20;16;63;20;17;62;21;16;62;5;-6;0
"Fresnes";94034;11179.2191590306;2092.67315897219;2388.58234337121;6640.46507892233;11865.254794303;2332.59459850408;2439.69733829885;6959.70533720868;12167.0056927899;2771.89100993325;2799.70022515557;6506.61053967334;19;21;59;20;21;59;23;23;53;15;10;-10
"Gentilly";94037;7807.54501012267;1446.07564272774;1444.7247499125;4795.83748854286;7306.53814014157;1336.49976083061;1325.50944608101;4562.66439706819;8651.06110236905;1186.2299281598;1500.64365698428;5868.06787933035;19;19;61;18;18;62;14;17;68;-22;-6;10
"L'Haÿ-les-Roses";94038;13142.1303968646;1706.67089940499;3725.79786182902;7632.60040022532;13142.5024975717;1756.76977037243;3881.61866892943;7354.28567550131;13246.1536665528;1930.68379018545;3491.68074901603;7697.54793986116;13;28;58;13;30;56;15;26;58;15;-13;4
"Ivry-sur-Seine";94041;24900.5433093794;5926.06906123972;4546.01307438841;14168.5826318437;25893.7517577129;6354.00856089732;4485.711393894;14815.7747276885;27888.0949840717;5761.28004553657;4535.63045710536;17207.0470454603;24;18;57;25;17;57;21;16;62;-16;-6;9
"Joinville-le-Pont";94042;8201.25897908825;1160.2019744871;2204.56517582011;4791.17781474211;8215.96461854979;1268.1038322269;2040.80199115308;4786.48217426295;8940.3496843738;1129.48112707273;2200.4271549284;5534.16177389698;14;27;58;15;25;58;13;25;62;-13;0;7
